yearID,teamID,G,W,WAR,Salary,Adj_Factor,Adjusted_Salary,Attendance
2007,CHW,162,85,2.1,"$108,671,833 ",1.21,"$131,492,918 ","2,684,395"
2007,CIN,162,72,11.9,"$68,142,480 ",1.21,"$82,452,401 ","2,056,453"
2007,CLE,162,96,23.1,"$61,289,667 ",1.21,"$74,160,497 ","2,275,911"
2007,COL,163,90,23.3,"$53,541,000 ",1.21,"$64,784,610 ","2,376,250"
2007,DET,162,88,31.8,"$93,085,369 ",1.21,"$112,633,296 ","3,047,124"
2007,FLA,162,71,18.4,"$30,127,000 ",1.21,"$36,453,670 ","1,370,511"
2007,HOU,162,73,8,"$87,379,000 ",1.21,"$105,728,590 ","3,020,405"
2007,KCR,162,69,15.9,"$66,917,500 ",1.21,"$80,970,175 ","1,616,867"
2007,LAA,162,94,21.8,"$108,868,833 ",1.21,"$131,731,288 ","3,365,632"
2007,LAD,162,82,13.5,"$108,059,524 ",1.21,"$130,752,024 ","3,856,753"
2007,MIL,162,83,20.8,"$65,236,500 ",1.21,"$78,936,165 ","2,869,144"
2007,MIN,162,79,19.9,"$70,649,500 ",1.21,"$85,485,895 ","2,296,383"
2007,MON,162,73,10.7,"$30,537,500 ",1.21,"$36,950,375 ","1,961,579"
2007,NYM,162,88,27.5,"$114,947,663 ",1.21,"$139,086,672 ","3,853,955"
2007,NYY,162,94,38.5,"$206,659,045 ",1.21,"$250,057,444 ","4,271,867"
2007,OAK,162,76,25.6,"$79,366,940 ",1.21,"$96,033,997 ","1,921,844"
2007,PHI,162,89,32.7,"$88,668,213 ",1.21,"$107,288,538 ","3,108,331"
2007,PIT,162,68,11.3,"$38,537,833 ",1.21,"$46,630,778 ","1,749,142"
2007,SDP,163,89,18.9,"$57,726,567 ",1.21,"$69,849,146 ","2,790,074"
2007,SEA,162,88,19.9,"$105,080,833 ",1.21,"$127,147,808 ","2,672,409"
2007,SFG,162,71,7.4,"$90,219,056 ",1.21,"$109,165,058 ","3,223,202"
2007,STL,162,78,18.5,"$89,904,823 ",1.21,"$108,784,836 ","3,552,166"
2007,TBD,162,66,19.4,"$24,123,500 ",1.21,"$29,189,435 ","1,389,031"
2007,TEX,162,75,19.2,"$67,937,675 ",1.21,"$82,204,587 ","2,353,862"
2007,TOR,162,83,25.5,"$81,061,300 ",1.21,"$98,084,173 ","2,360,648"
